,№,Language,Language (local),Wiki,Articles,All pages,Edits,Admins,Users,Active users,Files,Depth
0,1,English,English,en,6823501,60660841,1218941821,859,47394163,121501,917326,1250
1,2,Cebuano,Cebuano,ceb,6118106,11228840,35039451,5,115709,158,1,2
2,3,German,Deutsch,de,2909423,8017740,243328013,174,4367083,17303,129258,93
3,4,French,français,fr,2611464,13052251,214603368,146,4923669,16851,71652,262
4,5,Swedish,svenska,sv,2584671,6238384,54622103,64,909210,2052,0,17
5,6,Dutch,Nederlands,nl,2158358,4629121,67361021,33,1343038,3685,20,19
6,7,Russian,русский,ru,1979204,7972018,137470368,68,3578621,9606,251360,158
7,8,Spanish,español,es,1952638,8168788,159627831,56,7140557,14871,0,198
8,9,Italian,italiano,it,1863412,7994787,138970332,121,2513274,7888,123904,188
9,10,Egyptian Arabic,مصرى,arz,1623346,2121763,10125489,7,237866,197,1489,0
10,11,Polish,polski,pl,1614787,3728170,73560214,98,1307083,4373,269,33
11,12,Chinese,中文,zh,1418907,7702601,82320616,63,3510797,7461,67103,209
12,13,Japanese,日本語,ja,1415395,4160648,100148199,39,2197744,12978,4537,90
13,14,Ukrainian,українська,uk,1323382,4663360,42483381,50,748703,3312,114292,58
14,15,Vietnamese,Tiếng Việt,vi,1293293,19468905,71313152,15,953387,1558,26201,723
15,16,Waray,Winaray,war,1266444,2871093,7600709,3,59539,66,42,4
16,17,Arabic,العربية,ar,1232944,8420104,66772652,23,2578625,3972,54148,269
17,18,Portuguese,português,pt,1124741,5695111,67753499,51,3071444,8197,62129,196
18,19,Persian,فارسی,fa,1002137,5681964,39427247,34,1310112,5369,90552,151
19,20,Catalan,català,ca,751656,1878569,33437631,27,482567,1318,11466,40
20,21,Indonesian,Bahasa Indonesia,id,693095,3844667,25682569,47,1478411,2388,54250,138
21,22,Serbian,српски / srpski,sr,689149,4130311,27748212,15,369566,1016,37818,167
22,23,Korean,한국어,ko,668574,3224493,36995175,30,841786,2281,13821,167
23,24,Norwegian,norsk,no,629528,1815143,24406013,41,609585,1116,4,47
24,25,Turkish,Türkçe,tr,607875,2968311,32709924,20,1585357,3076,40529,166
25,26,Chechen,нохчийн,ce,601339,1190675,10364939,3,37875,49,329,8
26,27,Finnish,suomi,fi,572836,1491910,22329847,34,575450,1636,76251,38
27,28,Czech,čeština,cs,546296,1533263,23884456,32,660311,2347,1,50
28,29,Hungarian,magyar,hu,542038,1551022,27070422,25,561786,1512,8999,60
29,30,Tatar,татарча / tatarça,tt,501354,787392,4150428,6,51429,78,6672,1
30,31,Serbo-Croatian,srpskohrvatski / српскохрватски,sh,459497,4652971,41848646,9,212831,182,10236,749
31,32,Romanian,română,ro,449959,2763777,16206465,17,648477,846,117621,155
32,33,Minnan,閩南語 / Bân-lâm-gú,zh-min-nan,433057,1069782,3204863,4,62559,76,335,6
33,34,Basque,euskara,eu,432225,939031,9773453,12,161173,572,0,14
34,35,Malay,Bahasa Melayu,ms,373780,1084268,6179214,15,335414,614,18425,20
35,36,Hebrew,עברית,he,354384,1502462,38564857,27,1162610,3434,79479,269
36,37,Esperanto,Esperanto,eo,353428,794834,8713879,12,223565,318,17926,17
37,38,Armenian,հայերեն,hy,308809,1140297,9939590,10,143852,537,12120,63
38,39,Danish,dansk,da,299780,945103,11735036,26,480731,742,2,57
39,40,Bulgarian,български,bg,298441,671103,12210783,23,343625,689,13,28
40,41,Welsh,Cymraeg,cy,280456,480902,12606277,16,89455,123,11374,13
41,42,Uzbek,oʻzbekcha / ўзбекча,uz,260471,994292,4303600,17,132886,733,3349,34
42,43,Simple English,Simple English,simple,251600,821487,9518082,19,1448303,1548,36,59
43,44,Slovak,slovenčina,sk,248756,572289,7826002,11,249632,579,0,23
44,45,Estonian,eesti,et,245134,578203,6642678,34,192740,766,721,21
45,46,South Azerbaijani,تۆرکجه,azb,243519,577393,1559290,4,49862,101,337,5
46,47,Belarusian,беларуская,be,242315,691730,4721353,10,141715,250,3308,23
47,48,Kazakh,қазақша,kk,236624,634087,3329401,16,156715,464,11088,14
48,49,Greek,Ελληνικά,el,235338,683714,10548783,22,421827,951,19003,56
49,50,Minangkabau,Minangkabau,min,227558,470897,3152265,5,19268,37,178,7
50,51,Croatian,hrvatski,hr,220429,468375,6923336,13,312914,502,21868,18
51,52,Lithuanian,lietuvių,lt,216558,534602,7259006,9,186978,368,27023,29
52,53,Galician,galego,gl,207434,516311,6724312,7,145355,263,32,28
53,54,Urdu,اردو,ur,205739,1094030,6210838,8,179375,258,14223,105
54,55,Azerbaijani,azərbaycanca,az,200060,566881,7604158,14,290984,627,17203,45
55,56,Slovenian,slovenščina,sl,185139,470259,6203972,22,232315,313,8495,31
56,57,Ladin,Ladin,lld,180717,187531,237856,3,6882,27,4,0
